item_id,frame_id,gt_index,mask_iou,normalized_mssd,mspd_px
s000025-i000020-p000000,s000025-i000020,8,0.6785714285714286,0.0688472734124349,2.856986841601193
s000025-i000020-p000014,s000025-i000020,6,0.6759816059426954,0.05235097364938436,4.684327310035147
s000025-i000020-p000015,s000025-i000020,28,0.6525668835864064,1.0389928636199874,131.15521189478835
s000025-i000020-p000021,s000025-i000020,21,0.6407477648333785,0.039991138945570937,3.7731011386572693
s000025-i000020-p000019,s000025-i000020,48,0.6245505906522856,0.11477640858005414,4.909603724325217
s000025-i000020-p000040,s000025-i000020,26,0.6163934426229508,0.07377576715011619,4.428978900353027
s000025-i000020-p000002,s000025-i000020,9,0.591684434968017,0.06466596641520986,3.724035373784512
s000025-i000020-p000025,s000025-i000020,2,0.5766331658291457,0.05326776730255769,5.514892965573869
s000025-i000020-p000024,s000025-i000020,37,0.5746478873239437,0.07609233594013515,5.108500611091224
s000025-i000020-p000011,s000025-i000020,18,0.5578308684110732,0.09179841250523446,7.914169465966811
s000025-i000020-p000018,s000025-i000020,29,0.55,0.3771958168218615,38.051832241086935
s000025-i000020-p000001,s000025-i000020,3,0.5172524991938084,0.033468883341253836,4.071800820647098
s000025-i000020-p000008,s000025-i000020,19,0.5152483299448156,0.40500410499152484,48.21219360917968
s000025-i000030-p000036,s000025-i000030,45,0.8603916614024005,0.04708903429737371,3.4802932931079793
s000025-i000030-p000007,s000025-i000030,7,0.8473880597014926,0.052434182341316,5.584653779085594
s000025-i000030-p000024,s000025-i000030,13,0.814142910033321,0.040012768320307944,4.515364117983855
s000025-i000030-p000005,s000025-i000030,0,0.7984094052558783,0.07636640681280908,5.571630184143893
s000025-i000030-p000004,s000025-i000030,11,0.793934965290464,0.09069694811950434,3.913989548837097
s000025-i000030-p000029,s000025-i000030,54,0.7923990498812351,0.0949431098193226,8.269418013426229
s000025-i000030-p000021,s000025-i000030,10,0.7907135541140321,0.04737771988505917,4.814202490366285
s000025-i000030-p000028,s000025-i000030,32,0.7901969766376546,0.07153523045887164,5.41820942119811
s000025-i000030-p000000,s000025-i000030,4,0.7831842576028623,0.03771238482887191,4.038009964945572
s000025-i000030-p000013,s000025-i000030,6,0.7813492063492063,0.073131365769562,2.7020901078130417
s000025-i000030-p000026,s000025-i000030,40,0.7633069082672707,0.12628233531806177,7.318252608427736
s000025-i000030-p000010,s000025-i000030,12,0.7520740268028079,0.06462842517769216,4.519604255728921
s000025-i000030-p000001,s000025-i000030,8,0.75,0.08350064011322149,4.155046538399468
s000025-i000030-p000023,s000025-i000030,38,0.726625533934504,0.3797899215269044,45.443322257161334
s000025-i000030-p000008,s000025-i000030,39,0.7243816254416962,0.07824210907459317,5.051385679114127
s000025-i000030-p000012,s000025-i000030,20,0.7231227257691035,0.10293026344684861,4.932032387960757
s000025-i000030-p000038,s000025-i000030,26,0.7096114519427403,0.0747138035018069,4.832735774697158
s000025-i000030-p000025,s000025-i000030,5,0.7059015324421258,0.019180892779580794,1.7179229232982736
s000025-i000030-p000019,s000025-i000030,46,0.6995029371893358,0.09317040687908602,4.7805632598495995
