item_id,pose_max_abs,rotation_element_max_abs,translation_max_abs_m,top_score_abs,score_margin_abs
s000025-i000000-p000015,1.3855903446674347,1.3855903446674347,0.0004298761487007141,0.140625,0.03125
s000025-i000000-p000016,1.9076254963874817,1.9076254963874817,0.001031331717967987,0.09375,0.015625
s000025-i000000-p000017,0.00021451711654663086,0.00021451711654663086,1.3709068298339844e-06,0.1875,0.0
s000025-i000000-p000018,0.15639857202768326,0.15639857202768326,0.00022649206221103668,0.203125,0.015625
s000025-i000000-p000019,9.211897850036621e-05,9.211897850036621e-05,1.3709068298339844e-06,0.203125,0.0
s000025-i000000-p000020,1.3281312882900238,1.3281312882900238,0.0004587918519973755,0.1875,0.0
s000025-i000000-p000021,5.4776668548583984e-05,5.4776668548583984e-05,1.5348196029663086e-06,0.2578125,0.0
s000025-i000000-p000022,1.4129306375980377,1.4129306375980377,0.0002840086817741394,0.0859375,0.0078125
s000025-i000000-p000023,0.0034736916422843933,0.0034736916422843933,5.799531936645508e-05,0.5,0.0
s000025-i000000-p000024,0.0035523809492588043,0.0035523809492588043,0.001028984785079956,0.1875,0.078125
s000025-i000000-p000025,0.003685683012008667,0.003685683012008667,3.706291317939758e-05,0.1953125,0.0
s000025-i000000-p000026,0.0005218982696533203,0.0005218982696533203,4.316866397857666e-05,0.109375,0.015625
s000025-i000000-p000027,0.0011040568351745605,0.0011040568351745605,4.933774471282959e-05,0.046875,0.0
